,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genres
Day to Day for 6 Days a Week,0.593,0.357,11,-10.813,1,0.0693,0.875,0.0,0.112,0.352,111.689,audio_features,4TRRAsZlSanRqzmsCaJ5XM,spotify:track:4TRRAsZlSanRqzmsCaJ5XM,https://api.spotify.com/v1/tracks/4TRRAsZlSanRqzmsCaJ5XM,https://api.spotify.com/v1/audio-analysis/4TRRAsZlSanRqzmsCaJ5XM,306618,4,43,['london indie']
Postdoc Blues,0.665,0.797,10,-9.172,1,0.0419,0.124,0.0173,0.0958,0.717,143.176,audio_features,5l1AMUJEA43GYqxpfTyhoT,spotify:track:5l1AMUJEA43GYqxpfTyhoT,https://api.spotify.com/v1/tracks/5l1AMUJEA43GYqxpfTyhoT,https://api.spotify.com/v1/audio-analysis/5l1AMUJEA43GYqxpfTyhoT,203091,4,32,"['canadian folk', 'canadian indie', 'manitoba indie']"
"Fine, Great",0.611,0.738,3,-5.949,1,0.0608,0.0604,0.0,0.062,0.747,131.991,audio_features,7hqboBA08HiOvLPd3Ahjod,spotify:track:7hqboBA08HiOvLPd3Ahjod,https://api.spotify.com/v1/tracks/7hqboBA08HiOvLPd3Ahjod,https://api.spotify.com/v1/audio-analysis/7hqboBA08HiOvLPd3Ahjod,148047,4,42,"['alternative emo', 'emo', 'philly indie', 'pop punk']"
DVP,0.354,0.997,6,-1.222,1,0.0991,0.00527,7.92e-06,0.349,0.23,148.006,audio_features,1Puu0kgJSkdvnu5R5ktiYK,spotify:track:1Puu0kgJSkdvnu5R5ktiYK,https://api.spotify.com/v1/tracks/1Puu0kgJSkdvnu5R5ktiYK,https://api.spotify.com/v1/audio-analysis/1Puu0kgJSkdvnu5R5ktiYK,148893,4,0,"['alternative emo', 'canadian indie', 'canadian pop punk', 'canadian punk', 'indie punk', 'indie rock', 'toronto indie']"
Highway 1 East,0.263,0.165,2,-13.757,1,0.0438,0.943,0.000101,0.131,0.105,170.9,audio_features,7k90Rw05SoRGZ1SLUdJ51E,spotify:track:7k90Rw05SoRGZ1SLUdJ51E,https://api.spotify.com/v1/tracks/7k90Rw05SoRGZ1SLUdJ51E,https://api.spotify.com/v1/audio-analysis/7k90Rw05SoRGZ1SLUdJ51E,84573,5,14,"['canadian folk', 'canadian indie', 'manitoba indie']"
"If This Tour Doesn't Kill You, I Will",0.265,0.866,6,-4.203,1,0.096,0.0254,4.01e-05,0.156,0.198,94.838,audio_features,0hnkkPQp2BWEDwiEdsDklZ,spotify:track:0hnkkPQp2BWEDwiEdsDklZ,https://api.spotify.com/v1/tracks/0hnkkPQp2BWEDwiEdsDklZ,https://api.spotify.com/v1/audio-analysis/0hnkkPQp2BWEDwiEdsDklZ,138813,4,34,"['alternative emo', 'canadian indie', 'canadian pop punk', 'canadian punk', 'indie punk', 'indie rock', 'toronto indie']"
Podina,0.906,0.609,6,-2.34,0,0.0361,0.0266,0.691,0.0883,0.381,95.138,audio_features,7dpIugIsXYPAdUYgTmIlYJ,spotify:track:7dpIugIsXYPAdUYgTmIlYJ,https://api.spotify.com/v1/tracks/7dpIugIsXYPAdUYgTmIlYJ,https://api.spotify.com/v1/audio-analysis/7dpIugIsXYPAdUYgTmIlYJ,127133,4,0,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'rap']"
Profite,0.83,0.788,5,-4.511,0,0.0484,0.0892,0.0112,0.064,0.867,125.02,audio_features,7eayUCAuRo6o2Y39B4eKVb,spotify:track:7eayUCAuRo6o2Y39B4eKVb,https://api.spotify.com/v1/tracks/7eayUCAuRo6o2Y39B4eKVb,https://api.spotify.com/v1/audio-analysis/7eayUCAuRo6o2Y39B4eKVb,270080,4,28,['new french touch']
The Headmaster Ritual - 2011 Remaster,0.388,0.955,9,-6.184,1,0.0411,0.00201,0.0366,0.146,0.693,150.352,audio_features,4tFGNFIIZ9ANSewxGZyiDD,spotify:track:4tFGNFIIZ9ANSewxGZyiDD,https://api.spotify.com/v1/tracks/4tFGNFIIZ9ANSewxGZyiDD,https://api.spotify.com/v1/audio-analysis/4tFGNFIIZ9ANSewxGZyiDD,295440,4,52,"['dance rock', 'madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']"
M.P.A.,0.513,0.619,2,-9.248,0,0.441,0.322,0.0,0.309,0.379,168.848,audio_features,09W3YKEDiMFsX7QxWJm2zX,spotify:track:09W3YKEDiMFsX7QxWJm2zX,https://api.spotify.com/v1/tracks/09W3YKEDiMFsX7QxWJm2zX,https://api.spotify.com/v1/audio-analysis/09W3YKEDiMFsX7QxWJm2zX,285773,4,47,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
Winter Wheat,0.744,0.21,2,-15.663,1,0.0359,0.736,0.161,0.122,0.0972,112.735,audio_features,4UPMY9WcvI2Pi4DX3CFqT7,spotify:track:4UPMY9WcvI2Pi4DX3CFqT7,https://api.spotify.com/v1/tracks/4UPMY9WcvI2Pi4DX3CFqT7,https://api.spotify.com/v1/audio-analysis/4UPMY9WcvI2Pi4DX3CFqT7,172483,4,25,"['canadian folk', 'canadian indie', 'manitoba indie']"
untitled 03 | 05.28.2013.,0.813,0.549,5,-12.427,0,0.269,0.608,1e-06,0.129,0.562,103.914,audio_features,2fgAJeky8Cpsr8Cfvn2NVp,spotify:track:2fgAJeky8Cpsr8Cfvn2NVp,https://api.spotify.com/v1/tracks/2fgAJeky8Cpsr8Cfvn2NVp,https://api.spotify.com/v1/audio-analysis/2fgAJeky8Cpsr8Cfvn2NVp,154347,4,53,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Fill in the Blank,0.339,0.829,9,-7.239,1,0.058,0.00736,1.26e-05,0.0596,0.5,162.798,audio_features,1EALzILzmIPtRIvYyo6Lwm,spotify:track:1EALzILzmIPtRIvYyo6Lwm,https://api.spotify.com/v1/tracks/1EALzILzmIPtRIvYyo6Lwm,https://api.spotify.com/v1/audio-analysis/1EALzILzmIPtRIvYyo6Lwm,244507,4,55,"['alternative rock', 'indie pop', 'indie punk', 'indie rock', 'lo-fi', 'modern rock', 'noise pop']"
17th Street Treatment Centre,0.515,0.174,10,-12.029,1,0.0349,0.915,0.0,0.104,0.262,127.156,audio_features,6BEgukrfUqytub9KLjuq2w,spotify:track:6BEgukrfUqytub9KLjuq2w,https://api.spotify.com/v1/tracks/6BEgukrfUqytub9KLjuq2w,https://api.spotify.com/v1/audio-analysis/6BEgukrfUqytub9KLjuq2w,149426,3,24,"['canadian folk', 'canadian indie', 'manitoba indie']"
"Bitch, Don’t Kill My Vibe",0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,audio_features,712uvW1Vezq8WpQi38v2L9,spotify:track:712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/tracks/712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/audio-analysis/712uvW1Vezq8WpQi38v2L9,310720,4,64,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
